Geography,Date,Initial Claims
"Allen County, IN",2020-01-04,198
"Allen County, IN",2020-01-11,245
"Allen County, IN",2020-01-18,251
"Allen County, IN",2020-01-25,164
"Allen County, IN",2020-02-01,137
"Allen County, IN",2020-02-08,156
"Allen County, IN",2020-02-15,196
"Allen County, IN",2020-02-22,424
"Allen County, IN",2020-02-29,157
"Allen County, IN",2020-03-07,108
"Allen County, IN",2020-03-14,115
"Allen County, IN",2020-03-21,"3,561"
"Allen County, IN",2020-03-28,"9,950"
"Allen County, IN",2020-04-04,"6,848"
