Geography,Date,Initial Claims
"Hamilton County, IN",2020-01-04,106
"Hamilton County, IN",2020-01-11,127
"Hamilton County, IN",2020-01-18,80
"Hamilton County, IN",2020-01-25,77
"Hamilton County, IN",2020-02-01,61
"Hamilton County, IN",2020-02-08,69
"Hamilton County, IN",2020-02-15,68
"Hamilton County, IN",2020-02-22,51
"Hamilton County, IN",2020-02-29,66
"Hamilton County, IN",2020-03-07,52
"Hamilton County, IN",2020-03-14,83
"Hamilton County, IN",2020-03-21,"2,247"
"Hamilton County, IN",2020-03-28,"3,554"
"Hamilton County, IN",2020-04-04,"3,756"
