Geography,State Fips,County Fips,Year,Month,Month Code,week,Initial Claims,Pct. Change
"Adams County, IN",18,1,2020,January,1,1,20,
"Adams County, IN",18,1,2020,January,1,2,16,23.10%
"Adams County, IN",18,1,2020,January,1,3,,
"Adams County, IN",18,1,2020,January,1,4,10,100.00%
"Adams County, IN",18,1,2020,February,2,5,,
"Adams County, IN",18,1,2020,February,2,6,10,100.00%
"Adams County, IN",18,1,2020,February,2,7,13,100.00%
"Adams County, IN",18,1,2020,February,2,8,49,100.00%
"Adams County, IN",18,1,2020,February,2,9,11,10.00%
"Adams County, IN",18,1,2020,March,3,10,,
"Adams County, IN",18,1,2020,March,3,11,,
"Adams County, IN",18,1,2020,March,3,12,156,100.00%
"Adams County, IN",18,1,2020,March,3,13,902,100.00%
"Adams County, IN",18,1,2020,April,4,14,968,8700.00%
"Allen County, IN",18,3,2020,January,1,1,198,31.10%
"Allen County, IN",18,3,2020,January,1,2,245,39.20%
"Allen County, IN",18,3,2020,January,1,3,251,71.90%
"Allen County, IN",18,3,2020,January,1,4,164,31.20%
"Allen County, IN",18,3,2020,February,2,5,137,-8.70%
"Allen County, IN",18,3,2020,February,2,6,156,24.80%
"Allen County, IN",18,3,2020,February,2,7,196,66.10%
"Allen County, IN",18,3,2020,February,2,8,424,311.70%
"Allen County, IN",18,3,2020,February,2,9,157,80.50%
"Allen County, IN",18,3,2020,March,3,10,108,22.70%
"Allen County, IN",18,3,2020,March,3,11,115,16.20%
"Allen County, IN",18,3,2020,March,3,12,"3,561",3688.30%
"Allen County, IN",18,3,2020,March,3,13,"9,950",12992.10%
"Allen County, IN",18,3,2020,April,4,14,"6,848",7771.30%
"Bartholomew County, IN",18,5,2020,January,1,1,33,-15.40%
"Bartholomew County, IN",18,5,2020,January,1,2,43,-12.20%
"Bartholomew County, IN",18,5,2020,January,1,3,26,-25.70%
"Bartholomew County, IN",18,5,2020,January,1,4,19,-52.50%
"Bartholomew County, IN",18,5,2020,February,2,5,27,17.40%
"Bartholomew County, IN",18,5,2020,February,2,6,26,4.00%
"Bartholomew County, IN",18,5,2020,February,2,7,18,38.50%
"Bartholomew County, IN",18,5,2020,February,2,8,25,-16.70%
"Bartholomew County, IN",18,5,2020,February,2,9,14,-22.20%
"Bartholomew County, IN",18,5,2020,March,3,10,13,18.20%
"Bartholomew County, IN",18,5,2020,March,3,11,17,-5.60%
"Bartholomew County, IN",18,5,2020,March,3,12,690,4500.00%
"Bartholomew County, IN",18,5,2020,March,3,13,"1,525",9431.30%
"Bartholomew County, IN",18,5,2020,April,4,14,"1,625",11507.10%
"Benton County, IN",18,7,2020,January,1,1,,
"Benton County, IN",18,7,2020,January,1,2,,
"Benton County, IN",18,7,2020,January,1,3,,
"Benton County, IN",18,7,2020,January,1,4,,
"Benton County, IN",18,7,2020,February,2,5,,
"Benton County, IN",18,7,2020,February,2,6,,
"Benton County, IN",18,7,2020,February,2,7,,
"Benton County, IN",18,7,2020,February,2,8,,
"Benton County, IN",18,7,2020,February,2,9,,
"Benton County, IN",18,7,2020,March,3,10,,
"Benton County, IN",18,7,2020,March,3,12,30,100.00%
"Benton County, IN",18,7,2020,March,3,13,94,100.00%
"Benton County, IN",18,7,2020,April,4,14,122,
"Blackford County, IN",18,9,2020,January,1,1,,
"Blackford County, IN",18,9,2020,January,1,2,10,-9.10%
"Blackford County, IN",18,9,2020,January,1,3,,
"Blackford County, IN",18,9,2020,January,1,4,,
"Blackford County, IN",18,9,2020,February,2,5,,
"Blackford County, IN",18,9,2020,February,2,6,,
"Blackford County, IN",18,9,2020,February,2,7,,
"Blackford County, IN",18,9,2020,February,2,8,,
"Blackford County, IN",18,9,2020,February,2,9,,
"Blackford County, IN",18,9,2020,March,3,10,,
"Blackford County, IN",18,9,2020,March,3,11,,
"Blackford County, IN",18,9,2020,March,3,12,90,100.00%
"Blackford County, IN",18,9,2020,March,3,13,261,100.00%
"Blackford County, IN",18,9,2020,April,4,14,257,100.00%
"Boone County, IN",18,11,2020,January,1,1,16,-50.00%
"Boone County, IN",18,11,2020,January,1,2,26,-27.80%
"Boone County, IN",18,11,2020,January,1,3,17,-5.60%
"Boone County, IN",18,11,2020,January,1,4,13,-13.30%
"Boone County, IN",18,11,2020,February,2,5,27,28.60%
"Boone County, IN",18,11,2020,February,2,6,,
"Boone County, IN",18,11,2020,February,2,7,19,58.30%
"Boone County, IN",18,11,2020,February,2,8,12,
"Boone County, IN",18,11,2020,February,2,9,14,7.70%
