Geography,State Fips,County Fips,Year,Month,Month Code,week,Initial Claims,Pct. Change from Same
"Boone County, IN",18,11,2020,January,1,1,16,-50.00%
"Boone County, IN",18,11,2020,January,1,2,26,-27.80%
"Boone County, IN",18,11,2020,January,1,3,17,-5.60%
"Boone County, IN",18,11,2020,January,1,4,13,-13.30%
"Boone County, IN",18,11,2020,February,2,5,27,28.60%
"Boone County, IN",18,11,2020,February,2,6,,
"Boone County, IN",18,11,2020,February,2,7,19,58.30%
"Boone County, IN",18,11,2020,February,2,8,12,
"Boone County, IN",18,11,2020,February,2,9,14,7.70%
"Boone County, IN",18,11,2020,March,3,10,21,100.00%
"Boone County, IN",18,11,2020,March,3,11,14,7.70%
"Boone County, IN",18,11,2020,March,3,12,358,100.00%
"Boone County, IN",18,11,2020,March,3,13,599,3643.80%
"Boone County, IN",18,11,2020,April,4,14,670,4685.70%
