State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Indiana,1/3/1987,"10,068",12/27/1986,"47,604","2,065,922",2.3
Indiana,1/10/1987,"16,812",1/3/1987,"63,290","2,078,050",3.05
Indiana,1/17/1987,"10,073",1/10/1987,"57,525","2,078,050",2.77
Indiana,1/24/1987,"8,681",1/17/1987,"60,967","2,078,050",2.93
Indiana,1/31/1987,"8,605",1/24/1987,"61,282","2,078,050",2.95
Indiana,2/7/1987,"8,133",1/31/1987,"59,816","2,078,050",2.88
Indiana,2/14/1987,"7,115",2/7/1987,"57,968","2,078,050",2.79
Indiana,2/21/1987,"7,096",2/14/1987,"56,491","2,078,050",2.72
Indiana,2/28/1987,"6,380",2/21/1987,"54,752","2,078,050",2.63
Indiana,3/7/1987,"6,575",2/28/1987,"52,665","2,078,050",2.53
Indiana,3/14/1987,"6,143",3/7/1987,"50,652","2,078,050",2.44
Indiana,3/21/1987,"5,194",3/14/1987,"48,971","2,078,050",2.36
Indiana,3/28/1987,"4,768",3/21/1987,"45,887","2,078,050",2.21
Indiana,4/4/1987,"5,483",3/28/1987,"42,635","2,078,050",2.05
Indiana,4/11/1987,"7,200",4/4/1987,"41,815","2,090,811",2
Indiana,4/18/1987,"6,472",4/11/1987,"36,900","2,090,811",1.76
Indiana,4/25/1987,"5,096",4/18/1987,"40,732","2,090,811",1.95
Indiana,5/2/1987,"4,798",4/25/1987,"35,735","2,090,811",1.71
Indiana,5/9/1987,"4,642",5/2/1987,"34,070","2,090,811",1.63
Indiana,5/16/1987,"5,291",5/9/1987,"33,334","2,090,811",1.59
Indiana,5/23/1987,"6,131",5/16/1987,"31,653","2,090,811",1.51
Indiana,5/30/1987,"4,952",5/23/1987,"31,221","2,090,811",1.49
Indiana,6/6/1987,"5,605",5/30/1987,"32,314","2,090,811",1.55
Indiana,6/13/1987,"5,057",6/6/1987,"31,083","2,090,811",1.49
Indiana,6/20/1987,"5,133",6/13/1987,"30,672","2,090,811",1.47
Indiana,6/27/1987,"5,750",6/20/1987,"30,622","2,090,811",1.46
Indiana,7/4/1987,"5,575",6/27/1987,"28,944","2,090,811",1.38
Indiana,7/11/1987,"8,523",7/4/1987,"30,911","2,106,012",1.47
Indiana,7/18/1987,"6,075",7/11/1987,"30,962","2,106,012",1.47
Indiana,7/25/1987,"5,856",7/18/1987,"32,473","2,106,012",1.54
Indiana,8/1/1987,"14,089",7/25/1987,"31,037","2,106,012",1.47
Indiana,8/8/1987,"6,466",8/1/1987,"33,240","2,106,012",1.58
Indiana,8/15/1987,"5,210",8/8/1987,"35,640","2,106,012",1.69
Indiana,8/22/1987,"4,649",8/15/1987,"29,156","2,106,012",1.38
Indiana,8/29/1987,"4,796",8/22/1987,"28,054","2,106,012",1.33
Indiana,9/5/1987,"4,626",8/29/1987,"27,249","2,106,012",1.29
Indiana,9/12/1987,"3,814",9/5/1987,"24,882","2,106,012",1.18
Indiana,9/19/1987,"4,229",9/12/1987,"25,761","2,106,012",1.22
Indiana,9/26/1987,"4,402",9/19/1987,"24,795","2,106,012",1.18
Indiana,10/3/1987,"4,343",9/26/1987,"23,691","2,106,012",1.12
Indiana,10/10/1987,"6,198",10/3/1987,"24,050","2,120,167",1.13
Indiana,10/17/1987,"4,543",10/10/1987,"23,410","2,120,167",1.1
Indiana,10/24/1987,"4,804",10/17/1987,"25,134","2,120,167",1.19
Indiana,10/31/1987,"5,250",10/24/1987,"24,687","2,120,167",1.16
Indiana,11/7/1987,"5,863",10/31/1987,"24,705","2,120,167",1.17
Indiana,11/14/1987,"5,538",11/7/1987,"25,444","2,120,167",1.2
Indiana,11/21/1987,"6,365",11/14/1987,"26,726","2,120,167",1.26
Indiana,11/28/1987,"5,126",11/21/1987,"24,941","2,120,167",1.18
Indiana,12/5/1987,"8,492",11/28/1987,"31,171","2,120,167",1.47
Indiana,12/12/1987,"7,442",12/5/1987,"30,604","2,120,167",1.44
Indiana,12/19/1987,"7,181",12/12/1987,"32,904","2,120,167",1.55
Indiana,12/26/1987,"9,932",12/19/1987,"31,040","2,120,167",1.46
Indiana,1/2/1988,"9,495",12/26/1987,"34,016","2,120,167",1.6
Indiana,1/9/1988,"16,555",1/2/1988,"45,934","2,141,377",2.15
Indiana,1/16/1988,"9,955",1/9/1988,"45,239","2,141,377",2.11
Indiana,1/23/1988,"8,052",1/16/1988,"48,706","2,141,377",2.27
Indiana,1/30/1988,"8,473",1/23/1988,"45,105","2,141,377",2.11
Indiana,2/6/1988,"8,444",1/30/1988,"47,756","2,141,377",2.23
Indiana,2/13/1988,"6,979",2/6/1988,"49,064","2,141,377",2.29
Indiana,2/20/1988,"6,569",2/13/1988,"49,432","2,141,377",2.31
Indiana,2/27/1988,"7,586",2/20/1988,"49,508","2,141,377",2.31
Indiana,3/5/1988,"5,421",2/27/1988,"48,582","2,141,377",2.27
Indiana,3/12/1988,"5,428",3/5/1988,"44,398","2,141,377",2.07
Indiana,3/19/1988,"5,814",3/12/1988,"42,594","2,141,377",1.99
Indiana,3/26/1988,"5,087",3/19/1988,"40,815","2,141,377",1.91
Indiana,4/2/1988,"5,093",3/26/1988,"35,525","2,141,377",1.66
Indiana,4/9/1988,"6,201",4/2/1988,"36,065","2,163,571",1.67
Indiana,4/16/1988,"4,773",4/9/1988,"30,953","2,163,571",1.43
Indiana,4/23/1988,"4,271",4/16/1988,"30,293","2,163,571",1.4
Indiana,4/30/1988,"5,041",4/23/1988,"28,223","2,163,571",1.3
Indiana,5/7/1988,"4,102",4/30/1988,"27,051","2,163,571",1.25
Indiana,5/14/1988,"4,380",5/7/1988,"25,329","2,163,571",1.17
Indiana,5/21/1988,"4,343",5/14/1988,"24,925","2,163,571",1.15
Indiana,5/28/1988,"3,885",5/21/1988,"24,582","2,163,571",1.14
Indiana,6/4/1988,"4,148",5/28/1988,"23,307","2,163,571",1.08
Indiana,6/11/1988,"4,232",6/4/1988,"24,333","2,163,571",1.12
Indiana,6/18/1988,"3,917",6/11/1988,"23,246","2,163,571",1.07
Indiana,6/25/1988,"4,526",6/18/1988,"23,038","2,163,571",1.06
Indiana,7/2/1988,"4,910",6/25/1988,"23,267","2,163,571",1.08
Indiana,7/9/1988,"6,251",7/2/1988,"22,651","2,188,164",1.04
Indiana,7/16/1988,"7,682",7/9/1988,"24,006","2,188,164",1.1
Indiana,7/23/1988,"6,283",7/16/1988,"27,376","2,188,164",1.25
Indiana,7/30/1988,"6,468",7/23/1988,"28,236","2,188,164",1.29
Indiana,8/6/1988,"5,047",7/30/1988,"26,937","2,188,164",1.23
Indiana,8/13/1988,"4,334",8/6/1988,"25,505","2,188,164",1.17
Indiana,8/20/1988,"4,104",8/13/1988,"22,809","2,188,164",1.04
Indiana,8/27/1988,"4,156",8/20/1988,"22,624","2,188,164",1.03
Indiana,9/3/1988,"4,297",8/27/1988,"22,107","2,188,164",1.01
Indiana,9/10/1988,"3,594",9/3/1988,"20,994","2,188,164",0.96
Indiana,9/17/1988,"4,073",9/10/1988,"20,768","2,188,164",0.95
Indiana,9/24/1988,"3,734",9/17/1988,"20,461","2,188,164",0.94
Indiana,10/1/1988,"3,478",9/24/1988,"19,805","2,188,164",0.91
Indiana,10/8/1988,"4,627",10/1/1988,"18,980","2,212,404",0.86
Indiana,10/15/1988,"3,651",10/8/1988,"17,874","2,212,404",0.81
Indiana,10/22/1988,"4,198",10/15/1988,"19,719","2,212,404",0.89
Indiana,10/29/1988,"4,224",10/22/1988,"19,073","2,212,404",0.86
Indiana,11/5/1988,"4,720",10/29/1988,"19,479","2,212,404",0.88
Indiana,11/12/1988,"4,000",11/5/1988,"18,309","2,212,404",0.83
Indiana,11/19/1988,"6,048",11/12/1988,"21,739","2,212,404",0.98
Indiana,11/26/1988,"5,040",11/19/1988,"19,050","2,212,404",0.86
Indiana,12/3/1988,"7,128",11/26/1988,"24,989","2,212,404",1.13
Indiana,12/10/1988,"6,492",12/3/1988,"24,651","2,272,404",1.08
Indiana,12/17/1988,"7,001",12/10/1988,"25,539","2,272,404",1.12
Indiana,12/24/1988,"8,676",12/17/1988,"26,507","2,212,404",1.2
Indiana,12/31/1988,"9,001",12/24/1988,"27,603","2,212,404",1.25
Indiana,1/7/1989,"13,308",12/31/1988,"34,771","2,212,404",1.57
Indiana,1/14/1989,"9,212",1/7/1989,"39,528","2,234,132",1.77
Indiana,1/21/1989,"6,728",1/14/1989,"40,384","2,234,132",1.81
Indiana,1/28/1989,"6,916",1/21/1989,"40,012","2,234,132",1.79
Indiana,2/4/1989,"6,229",1/28/1989,"39,073","2,234,132",1.75
Indiana,2/11/1989,"7,033",2/4/1989,"39,327","2,234,132",1.76
Indiana,2/18/1989,"6,106",2/11/1989,"40,067","2,234,132",1.79
Indiana,2/25/1989,"5,778",2/18/1989,"40,437","2,234,132",1.81
Indiana,3/4/1989,"5,210",2/25/1989,"40,033","2,234,132",1.79
Indiana,3/11/1989,"5,400",3/4/1989,"39,219","2,234,132",1.76
Indiana,3/18/1989,"4,834",3/11/1989,"37,411","2,234,132",1.67
Indiana,3/25/1989,"3,956",3/18/1989,"33,997","2,234,132",1.52
Indiana,4/1/1989,"4,199",3/25/1989,"33,698","2,234,132",1.51
Indiana,4/8/1989,"5,928",4/1/1989,"30,588","2,234,132",1.37
Indiana,4/15/1989,"4,371",4/8/1989,"29,057","2,257,062",1.29
Indiana,4/22/1989,"4,021",4/15/1989,"27,540","2,257,062",1.22
Indiana,4/29/1989,"3,720",4/22/1989,"24,936","2,257,062",1.1
Indiana,5/6/1989,"4,227",4/29/1989,"23,823","2,257,062",1.06
Indiana,5/13/1989,"4,501",5/6/1989,"22,818","2,257,062",1.01
Indiana,5/20/1989,"4,329",5/13/1989,"22,578","2,257,062",1
Indiana,5/27/1989,"4,733",5/20/1989,"22,594","2,257,062",1
Indiana,6/3/1989,"4,613",5/27/1989,"22,562","2,257,062",1
Indiana,6/10/1989,"6,087",6/3/1989,"23,970","2,257,062",1.06
Indiana,6/17/1989,"5,138",6/10/1989,"24,723","2,257,062",1.1
Indiana,6/24/1989,"5,271",6/17/1989,"24,375","2,257,062",1.08
Indiana,7/1/1989,"5,529",6/24/1989,"24,683","2,257,062",1.09
Indiana,7/8/1989,"7,309",7/1/1989,"23,550","2,257,062",1.04
Indiana,7/15/1989,"10,272",7/8/1989,"27,032","2,280,467",1.19
Indiana,7/22/1989,"7,247",7/15/1989,"30,861","2,280,467",1.35
Indiana,7/29/1989,"6,180",7/22/1989,"30,227","2,280,467",1.33
Indiana,8/5/1989,"5,523",7/29/1989,"28,583","2,280,467",1.25
Indiana,8/12/1989,"4,713",8/5/1989,"27,094","2,280,467",1.19
Indiana,8/19/1989,"4,735",8/12/1989,"25,620","2,280,467",1.12
Indiana,8/26/1989,"5,377",8/19/1989,"24,781","2,280,467",1.09
Indiana,9/2/1989,"5,642",8/26/1989,"24,046","2,280,467",1.05
