Date,Weekly Jobs Claims
1967-01-07,"208,000"
1967-01-14,"207,000"
1967-01-21,"217,000"
1967-01-28,"204,000"
1967-02-04,"216,000"
1967-02-11,"229,000"
1967-02-18,"229,000"
1967-02-25,"242,000"
1967-03-04,"310,000"
1967-03-11,"241,000"
1967-03-18,"245,000"
1967-03-25,"247,000"
1967-04-01,"259,000"
1967-04-08,"257,000"
1967-04-15,"299,000"
1967-04-22,"245,000"
1967-04-29,"255,000"
1967-05-06,"254,000"
1967-05-13,"231,000"
1967-05-20,"230,000"
1967-05-27,"228,000"
1967-06-03,"248,000"
1967-06-10,"238,000"
1967-06-17,"224,000"
1967-06-24,"218,000"
1967-07-01,"209,000"
1967-07-08,"240,000"
1967-07-15,"241,000"
1967-07-22,"240,000"
1967-07-29,"209,000"
1967-08-05,"221,000"
1967-08-12,"202,000"
1967-08-19,"215,000"
1967-08-26,"213,000"
1967-09-02,"218,000"
1967-09-09,"231,000"
1967-09-16,"220,000"
1967-09-23,"209,000"
1967-09-30,"204,000"
1967-10-07,"231,000"
1967-10-14,"206,000"
1967-10-21,"223,000"
1967-10-28,"207,000"
1967-11-04,"222,000"
1967-11-11,"214,000"
1967-11-18,"198,000"
1967-11-25,"191,000"
1967-12-02,"196,000"
1967-12-09,"221,000"
1967-12-16,"204,000"
1967-12-23,"219,000"
1967-12-30,"216,000"
1968-01-06,"222,000"
1968-01-13,"222,000"
1968-01-20,"221,000"
1968-01-27,"198,000"
1968-02-03,"244,000"
1968-02-10,"210,000"
1968-02-17,"196,000"
1968-02-24,"193,000"
1968-03-02,"190,000"
1968-03-09,"204,000"
1968-03-16,"190,000"
1968-03-23,"200,000"
1968-03-30,"192,000"
1968-04-06,"191,000"
1968-04-13,"171,000"
1968-04-20,"183,000"
1968-04-27,"251,000"
1968-05-04,"209,000"
1968-05-11,"194,000"
1968-05-18,"199,000"
1968-05-25,"194,000"
1968-06-01,"199,000"
1968-06-08,"192,000"
1968-06-15,"194,000"
1968-06-22,"189,000"
1968-06-29,"194,000"
1968-07-06,"214,000"
1968-07-13,"186,000"
1968-07-20,"180,000"
1968-07-27,"205,000"
1968-08-03,"206,000"
1968-08-10,"218,000"
1968-08-17,"192,000"
1968-08-24,"193,000"
1968-08-31,"188,000"
1968-09-07,"189,000"
1968-09-14,"195,000"
1968-09-21,"191,000"
1968-09-28,"189,000"
1968-10-05,"185,000"
1968-10-12,"186,000"
1968-10-19,"191,000"
1968-10-26,"182,000"
1968-11-02,"181,000"
1968-11-09,"183,000"
1968-11-16,"192,000"
1968-11-23,"199,000"
1968-11-30,"162,000"
1968-12-07,"188,000"
1968-12-14,"195,000"
1968-12-21,"192,000"
1968-12-28,"223,000"
1969-01-04,"190,000"
1969-01-11,"191,000"
1969-01-18,"192,000"
1969-01-25,"193,000"
1969-02-01,"203,000"
1969-02-08,"197,000"
