Geography,State Fips,County Fips,Year,Month,Month Code,week,Initial Claims,Pct. Change from Same
"Decatur County, IN",18,31,2020,January,1,1,27,-12.90%
"Decatur County, IN",18,31,2020,January,1,2,19,5.60%
"Decatur County, IN",18,31,2020,January,1,3,14,40.00%
"Decatur County, IN",18,31,2020,January,1,4,,
"Decatur County, IN",18,31,2020,February,2,5,11,
"Decatur County, IN",18,31,2020,February,2,6,12,100.00%
"Decatur County, IN",18,31,2020,February,2,7,,
"Decatur County, IN",18,31,2020,February,2,8,16,100.00%
"Decatur County, IN",18,31,2020,February,2,9,,
"Decatur County, IN",18,31,2020,March,3,10,,
"Decatur County, IN",18,31,2020,March,3,11,,
"Decatur County, IN",18,31,2020,March,3,12,240,100.00%
"Decatur County, IN",18,31,2020,March,3,13,629,100.00%
"Decatur County, IN",18,31,2020,April,4,14,802,5628.60%
