Geography,State Fips,County Fips,Year,Month,Month Code,week,Initial Claims,Pct. Change from Same
"Hendricks County, IN",18,63,2020,January,1,1,64,-9.90%
"Hendricks County, IN",18,63,2020,January,1,2,49,-38.00%
"Hendricks County, IN",18,63,2020,January,1,3,65,35.40%
"Hendricks County, IN",18,63,2020,January,1,4,54,20.00%
"Hendricks County, IN",18,63,2020,February,2,5,38,-17.40%
"Hendricks County, IN",18,63,2020,February,2,6,41,-24.10%
"Hendricks County, IN",18,63,2020,February,2,7,29,-19.40%
"Hendricks County, IN",18,63,2020,February,2,8,21,-48.80%
"Hendricks County, IN",18,63,2020,February,2,9,25,-19.40%
"Hendricks County, IN",18,63,2020,March,3,10,35,-5.40%
"Hendricks County, IN",18,63,2020,March,3,11,25,4.20%
"Hendricks County, IN",18,63,2020,March,3,12,962,3335.70%
"Hendricks County, IN",18,63,2020,March,3,13,"1,532",5792.30%
"Hendricks County, IN",18,63,2020,April,4,14,"1,782",3612.50%
