Geography,Date,Initial Claims
"St. Joseph County, IN",2020-03-07,110
"St. Joseph County, IN",2020-03-14,113
"St. Joseph County, IN",2020-03-21,"2,422"
"St. Joseph County, IN",2020-03-28,"6,089"
"St. Joseph County, IN",2020-02-01,145
"St. Joseph County, IN",2020-02-08,125
"St. Joseph County, IN",2020-02-15,130
"St. Joseph County, IN",2020-02-22,124
"St. Joseph County, IN",2020-02-29,107
"St. Joseph County, IN",2020-01-04,196
"St. Joseph County, IN",2020-01-11,271
"St. Joseph County, IN",2020-01-18,223
"St. Joseph County, IN",2020-01-25,155
