Geography,State Fips,County Fips,Year,Month,Month Code,week,Initial Claims,Pct. Change from Same
"Johnson County, IN",18,81,2020,January,1,1,53,-1.90%
"Johnson County, IN",18,81,2020,January,1,2,71,-11.30%
"Johnson County, IN",18,81,2020,January,1,3,53,-20.90%
"Johnson County, IN",18,81,2020,January,1,4,46,-39.50%
"Johnson County, IN",18,81,2020,February,2,5,43,-29.50%
"Johnson County, IN",18,81,2020,February,2,6,43,-23.20%
"Johnson County, IN",18,81,2020,February,2,7,45,-16.70%
"Johnson County, IN",18,81,2020,February,2,8,45,40.60%
"Johnson County, IN",18,81,2020,February,2,9,31,-24.40%
"Johnson County, IN",18,81,2020,March,3,10,46,39.40%
"Johnson County, IN",18,81,2020,March,3,11,31,-6.10%
"Johnson County, IN",18,81,2020,March,3,12,"1,440",6160.90%
"Johnson County, IN",18,81,2020,March,3,13,"2,266",6374.30%
"Johnson County, IN",18,81,2020,April,4,14,"2,343",5614.60%
