Geography,State Fips,County Fips,Year,Month,Month Code,week,Initial Claims,ChangeFrom2019
"Lake County, IN",18,89,2020,January,1,1,399,7.00%
"Lake County, IN",18,89,2020,January,1,2,404,17.40%
"Lake County, IN",18,89,2020,January,1,3,268,-7.60%
"Lake County, IN",18,89,2020,January,1,4,281,22.70%
"Lake County, IN",18,89,2020,February,2,5,253,10.00%
"Lake County, IN",18,89,2020,February,2,6,221,-15.30%
"Lake County, IN",18,89,2020,February,2,7,181,-4.20%
"Lake County, IN",18,89,2020,February,2,8,240,35.60%
"Lake County, IN",18,89,2020,February,2,9,218,5.80%
"Lake County, IN",18,89,2020,March,3,10,204,-62.40%
"Lake County, IN",18,89,2020,March,3,11,175,-15.00%
"Lake County, IN",18,89,2020,March,3,12,"3,820",1810.00%
"Lake County, IN",18,89,2020,March,3,13,"6,414",4119.70%
"Lake County, IN",18,89,2020,April,4,14,"6,972",4125.50%
