Geography,State Fips,County Fips,Year,Month,Month Code,week,Initial Claims,Pct. Change from Same
"Marion County, IN",18,97,2020,January,1,1,453,-14.50%
"Marion County, IN",18,97,2020,January,1,2,591,-21.30%
"Marion County, IN",18,97,2020,January,1,3,468,-25.90%
"Marion County, IN",18,97,2020,January,1,4,420,-11.40%
"Marion County, IN",18,97,2020,February,2,5,416,-20.30%
"Marion County, IN",18,97,2020,February,2,6,410,-9.50%
"Marion County, IN",18,97,2020,February,2,7,382,-8.80%
"Marion County, IN",18,97,2020,February,2,8,348,-9.10%
"Marion County, IN",18,97,2020,February,2,9,324,4.50%
"Marion County, IN",18,97,2020,March,3,10,298,-14.90%
"Marion County, IN",18,97,2020,March,3,11,425,39.80%
"Marion County, IN",18,97,2020,March,3,12,"10,173",3291.00%
"Marion County, IN",18,97,2020,March,3,13,"13,546",5110.00%
"Marion County, IN",18,97,2020,April,4,14,"13,603",3753.50%
