Geography,State Fips,County Fips,Year,Month,Month Code,week,Initial Claims,Pct. Change from Same
"Monroe County, IN",18,105,2020,January,1,1,52,-8.80%
"Monroe County, IN",18,105,2020,January,1,2,54,-15.60%
"Monroe County, IN",18,105,2020,January,1,3,37,-14.00%
"Monroe County, IN",18,105,2020,January,1,4,34,3.00%
"Monroe County, IN",18,105,2020,February,2,5,21,-53.30%
"Monroe County, IN",18,105,2020,February,2,6,36,12.50%
"Monroe County, IN",18,105,2020,February,2,7,22,-8.30%
"Monroe County, IN",18,105,2020,February,2,8,27,58.80%
"Monroe County, IN",18,105,2020,February,2,9,16,-15.80%
"Monroe County, IN",18,105,2020,March,3,10,21,0.00%
"Monroe County, IN",18,105,2020,March,3,11,18,28.60%
"Monroe County, IN",18,105,2020,March,3,12,934,5737.50%
"Monroe County, IN",18,105,2020,March,3,13,"1,627",9470.60%
"Monroe County, IN",18,105,2020,April,4,14,"1,457",7568.40%
