Fips,InitialClaims
18001,968
18003,6848
18005,1625
18007,122
18009,257
18011,670
18013,206
18015,265
18017,574
18019,1827
18021,332
18023,489
18025,175
18027,201
18029,525
18031,802
18033,838
18035,1696
18037,626
18039,7487
18041,454
18043,1098
18045,277
18047,405
18049,371
18051,909
18053,732
18055,343
18057,3756
18059,1116
18061,604
18063,1782
18065,827
18067,1612
18069,647
18071,1071
18073,515
18075,671
18077,595
18079,536
18081,2343
18083,503
18085,1583
18087,1257
18089,6972
18091,1461
18093,613
18095,2287
18097,13603
18099,1008
18101,105
18103,491
18105,1457
18107,491
18109,947
18111,142
18113,1441
18115,86
18117,670
18119,250
18121,130
18123,575
18125,207
18127,2423
18129,235
18131,218
18133,528
18135,368
18137,401
18139,377
18141,5814
18143,557
18145,899
18147,367
18149,333
18151,796
18153,255
18155,112
18157,2276
18159,249
18161,64
18163,3185
18165,132
18167,1537
18169,287
18171,95
18173,992
18175,365
18177,786
18179,457
18181,373
18183,671
