Geography,State Fips,County Fips,Year,Month,Month Code,week,Initial Claims,Pct. Change from Same
"St. Joseph County, IN",18,141,2020,January,1,1,196,10.10%
"St. Joseph County, IN",18,141,2020,January,1,2,271,13.40%
"St. Joseph County, IN",18,141,2020,January,1,3,223,53.80%
"St. Joseph County, IN",18,141,2020,January,1,4,155,-8.80%
"St. Joseph County, IN",18,141,2020,February,2,5,145,30.60%
"St. Joseph County, IN",18,141,2020,February,2,6,125,-43.90%
"St. Joseph County, IN",18,141,2020,February,2,7,130,44.40%
"St. Joseph County, IN",18,141,2020,February,2,8,124,7.80%
"St. Joseph County, IN",18,141,2020,February,2,9,107,-30.10%
"St. Joseph County, IN",18,141,2020,March,3,10,110,37.50%
"St. Joseph County, IN",18,141,2020,March,3,11,113,24.20%
"St. Joseph County, IN",18,141,2020,March,3,12,"2,422",2890.10%
"St. Joseph County, IN",18,141,2020,March,3,13,"6,089",6177.30%
"St. Joseph County, IN",18,141,2020,April,4,14,"5,814",5490.40%
